       Time_s           01           02           03           04           05
   0.0000E+00   4.0000E+01   3.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00
   5.0000E-09   4.0000E+01   3.0000E+02   8.7915E+03   2.8061E+01   2.8061E+05
   1.0000E-08   4.0000E+01   3.0000E+02   8.7953E+03   2.1620E+01   2.1620E+05
   1.5000E-08   4.0000E+01   3.0000E+02   8.7979E+03   1.6676E+01   1.6676E+05
   2.0000E-08   4.0000E+01   3.0000E+02   8.7979E+03   1.2844E+01   1.2844E+05
   2.5000E-08   4.0000E+01   3.0000E+02   8.7979E+03   9.8954E+00   9.8954E+04
   3.0000E-08   4.0000E+01   3.0000E+02   8.7979E+03   7.6256E+00   7.6256E+04
   3.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   5.8818E+00   5.8818E+04
   4.0000E-08   4.0000E+01   3.0000E+02   8.8016E+03   4.5354E+00   4.5354E+04
   4.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   3.4985E+00   3.4985E+04
   5.0000E-08   4.0000E+01   3.0000E+02   8.8016E+03   2.7003E+00   2.7003E+04
   5.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   2.0857E+00   2.0857E+04
   6.0000E-08   4.0000E+01   3.0000E+02   8.8016E+03   1.6125E+00   1.6125E+04
   6.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   1.2482E+00   1.2482E+04
   7.0000E-08   4.0000E+01   3.0000E+02   8.8016E+03   9.6773E-01   9.6773E+03
   7.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   7.5174E-01   7.5174E+03
   8.0000E-08   4.0000E+01   3.0000E+02   8.8016E+03   5.8540E-01   5.8540E+03
   8.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   4.5731E-01   4.5731E+03
   9.0000E-08   4.0000E+01   3.0000E+02   8.8016E+03   3.5866E-01   3.5866E+03
   9.5000E-08   4.0000E+01   3.0000E+02   8.8016E+03   2.8268E-01   2.8268E+03
   1.0000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.2416E-01   2.2416E+03
   1.0500E-07   4.0000E+01   3.0000E+02   8.8016E+03   1.7908E-01   1.7908E+03
   1.1000E-07   4.0000E+01   3.0000E+02   8.8016E+03   1.4435E-01   1.4435E+03
   1.1500E-07   4.0000E+01   3.0000E+02   8.8016E+03   1.1759E-01   1.1759E+03
   1.2000E-07   4.0000E+01   3.0000E+02   8.8016E+03   9.6966E-02   9.6966E+02
   1.2500E-07   4.0000E+01   3.0000E+02   8.8016E+03   8.1070E-02   8.1070E+02
   1.3000E-07   4.0000E+01   3.0000E+02   8.8016E+03   6.8814E-02   6.8814E+02
   1.3500E-07   4.0000E+01   3.0000E+02   8.8016E+03   5.9360E-02   5.9360E+02
   1.4000E-07   4.0000E+01   3.0000E+02   8.8016E+03   5.2066E-02   5.2066E+02
   1.4500E-07   4.0000E+01   3.0000E+02   8.8016E+03   4.6436E-02   4.6436E+02
   1.5000E-07   4.0000E+01   3.0000E+02   8.8016E+03   4.2088E-02   4.2088E+02
   1.5500E-07   4.0000E+01   3.0000E+02   8.8016E+03   3.8728E-02   3.8728E+02
   1.6000E-07   4.0000E+01   3.0000E+02   8.8016E+03   3.6130E-02   3.6130E+02
   1.6500E-07   4.0000E+01   3.0000E+02   8.8016E+03   3.4119E-02   3.4119E+02
   1.7000E-07   4.0000E+01   3.0000E+02   8.8016E+03   3.2562E-02   3.2562E+02
   1.7500E-07   4.0000E+01   3.0000E+02   8.8016E+03   3.1354E-02   3.1354E+02
   1.8000E-07   4.0000E+01   3.0000E+02   8.8016E+03   3.0417E-02   3.0417E+02
   1.8500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.9688E-02   2.9688E+02
   1.9000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.9120E-02   2.9120E+02
   1.9500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.8677E-02   2.8677E+02
   2.0000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.8330E-02   2.8330E+02
   2.0500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.8059E-02   2.8059E+02
   2.1000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7845E-02   2.7845E+02
   2.1500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7677E-02   2.7677E+02
   2.2000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7544E-02   2.7544E+02
   2.2500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7439E-02   2.7439E+02
   2.3000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7355E-02   2.7355E+02
   2.3500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7288E-02   2.7288E+02
   2.4000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7235E-02   2.7235E+02
   2.4500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7192E-02   2.7192E+02
   2.5000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7158E-02   2.7158E+02
   2.5500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7130E-02   2.7130E+02
   2.6000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7108E-02   2.7108E+02
   2.6500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7090E-02   2.7090E+02
   2.7000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7076E-02   2.7076E+02
   2.7500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7065E-02   2.7065E+02
   2.8000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7057E-02   2.7057E+02
   2.8500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7051E-02   2.7051E+02
   2.9000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7046E-02   2.7046E+02
   2.9500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7043E-02   2.7043E+02
   3.0000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7041E-02   2.7041E+02
   3.0500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7041E-02   2.7041E+02
   3.1000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7041E-02   2.7041E+02
   3.1500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7042E-02   2.7042E+02
   3.2000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7044E-02   2.7044E+02
   3.2500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7047E-02   2.7047E+02
   3.3000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7051E-02   2.7051E+02
   3.3500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7055E-02   2.7055E+02
   3.4000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7059E-02   2.7059E+02
   3.4500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7064E-02   2.7064E+02
   3.5000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7069E-02   2.7069E+02
   3.5500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7075E-02   2.7075E+02
   3.6000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7081E-02   2.7081E+02
   3.6500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7088E-02   2.7088E+02
   3.7000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7094E-02   2.7094E+02
   3.7500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7101E-02   2.7101E+02
   3.8000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7109E-02   2.7109E+02
   3.8500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7116E-02   2.7116E+02
   3.9000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7124E-02   2.7124E+02
   3.9500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7131E-02   2.7131E+02
   4.0000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7139E-02   2.7139E+02
   4.0500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7148E-02   2.7148E+02
   4.1000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7156E-02   2.7156E+02
   4.1500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7164E-02   2.7164E+02
   4.2000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7173E-02   2.7173E+02
   4.2500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7181E-02   2.7181E+02
   4.3000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7190E-02   2.7190E+02
   4.3500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7198E-02   2.7198E+02
   4.4000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7207E-02   2.7207E+02
   4.4500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7216E-02   2.7216E+02
   4.5000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7225E-02   2.7225E+02
   4.5500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7234E-02   2.7234E+02
   4.6000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7243E-02   2.7243E+02
   4.6500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7252E-02   2.7252E+02
   4.7000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7261E-02   2.7261E+02
   4.7500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7269E-02   2.7269E+02
   4.8000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7278E-02   2.7278E+02
   4.8500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7287E-02   2.7287E+02
   4.9000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7296E-02   2.7296E+02
   4.9500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7305E-02   2.7305E+02
   5.0000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7314E-02   2.7314E+02
   5.0500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7323E-02   2.7323E+02
   5.1000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7332E-02   2.7332E+02
   5.1500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7341E-02   2.7341E+02
   5.2000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7350E-02   2.7350E+02
   5.2500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7358E-02   2.7358E+02
   5.3000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7367E-02   2.7367E+02
   5.3500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7376E-02   2.7376E+02
   5.4000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7385E-02   2.7384E+02
   5.4500E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7393E-02   2.7393E+02
   5.5000E-07   4.0000E+01   3.0000E+02   8.8016E+03   2.7402E-02   2.7402E+02
